class,class_size,tp,fp,fn,tn,P,N_total,AP,ROC_AUC,NDCG,NDCG_top10,TP,FP,FN,TN,TPR,TNR,PPV,NPV,FNR,FPR,FDR,FOR,TS,ACC,F1,F0_5,F2,MCC,BM,MK,LR+,LR-,ROC_AUC_micro,ROC_AUC_macro
Bus,156,0.8,9.2,6.0,19372.0,6.8,19388.0,0.1440879724269033,0.7286785512167515,0.3895594243933271,0.08486379699029109,0.8,9.2,6.0,19372.0,0.11547619047619047,0.9995253134827312,0.08,0.9996903705232738,0.8845238095238095,0.0004746865172688561,0.9199999999999999,0.0003096294767261843,0.05526556776556777,0.9992160099030329,0.2099673202614379,0.18938225922499743,0.2356381148950808,0.0957137834380399,0.11500150395892161,0.07969037052327384,300.31120559334846,0.8849531908076249,0.7191980105350224,
Car,702,4.191011235955056,5.808988764044944,3.168539325842697,19374.83146067416,6.887640449438202,19388.0,2.7101602005775587,0.8169806681042636,0.6790081244221897,0.4492552284521109,4.191011235955056,5.808988764044944,3.168539325842697,19374.83146067416,0.5411985018726592,0.9997002749107712,0.4191011235955056,0.9998364878044255,0.4588014981273408,0.00029972508922892143,0.5808988764044944,0.00016351219557450184,0.37513259212697414,0.9995369544001501,0.5160017114924809,0.48065764376352743,0.5594810571628148,0.4746129641029197,0.5408987767834303,0.4189376113999311,3494.3650747561896,0.4589929908620504,0.8124827665260707,
Cellphone,159,1.3,8.7,5.65,19372.35,6.95,19388.0,0.206147888494607,0.646866701493187,0.42832036780512733,0.16899883255969067,1.3,8.7,5.65,19372.35,0.1857142857142857,0.9995511080850902,0.13,0.9997084322427495,0.8142857142857143,0.0004488919149098932,0.8699999999999999,0.00029156775725049024,0.08847985347985347,0.9992598514545079,0.20392156862745098,0.18439716312056736,0.22807017543859642,0.15501774795605355,0.18526539379937584,0.12970843224274953,472.4393424036281,0.8146603336286686,0.6462730181533238,
Chess,335,3.380952380952381,6.619047619047619,3.5952380952380953,19374.404761904763,6.976190476190476,19388.0,0.8660301320698333,0.7771779911932197,0.5937149421945043,0.42878501255848483,3.380952380952381,6.619047619047619,3.5952380952380953,19374.404761904763,0.48299319727891155,0.9996584781314329,0.33809523809523806,0.9998144680516442,0.5170068027210883,0.00034152186856712,0.6619047619047619,0.0001855319483557692,0.2821382982097268,0.9994731645495004,0.451510333863275,0.4082806210465785,0.5049786628733997,0.4038473828521559,0.4826516754103445,0.3379097061468823,1998.0574182053772,0.5172185454614603,0.7635072012707794,
City,215,1.8888888888888888,8.11111111111111,5.074074074074074,19372.925925925927,6.962962962962963,19388.0,0.3406089236944698,0.7073633311708799,0.48376533370289065,0.2562492518611785,1.8888888888888888,8.11111111111111,5.074074074074074,19372.925925925927,0.2751322751322751,0.9995814920041527,0.18888888888888888,0.9997381528499291,0.7248677248677248,0.00041850799584730586,0.811111111111111,0.000261847150070909,0.14861311527978194,0.9993199306176406,0.25183823529411764,0.22664199814986122,0.28347523219814236,0.22756221213697037,0.27471376713642787,0.18862704173881803,980.6972999076172,0.7251982070364876,0.6754529412101958,
ClassicPiano,157,0.95,9.05,5.9,19372.1,6.85,19388.0,0.13456013935390335,0.5826106830351312,0.3890536558269721,0.13083198607206795,0.95,9.05,5.9,19372.1,0.1392857142857143,0.9995330514241914,0.095,0.9996955310145526,0.8607142857142858,0.0004669485758085409,0.905,0.00030446898544741455,0.06348214285714285,0.9992289044769962,0.1881127450980392,0.16901788467468393,0.21220330237358098,0.11460621964551532,0.13881876570990576,0.09469553101455261,332.9994992441421,0.8611227695774349,0.575144312393888,
Computer,264,1.9393939393939394,8.06060606060606,5.0606060606060606,19372.939393939392,7.0,19388.0,0.3684717464731565,0.6133142758142758,0.493127018041985,0.27083546134037234,1.9393939393939394,8.06060606060606,5.0606060606060606,19372.939393939392,0.27705627705627706,0.9995840975150607,0.19393939393939394,0.9997388478655894,0.722943722943723,0.00041590248493917037,0.8060606060606061,0.0002611521344104686,0.14506667574849394,0.9993232302392608,0.2689075630252101,0.243161094224924,0.30075187969924805,0.2314718586767056,0.2766403745713379,0.1936782418049835,879.9557307771593,0.7232655124526325,0.5891629630265995,
ComputerKeyboard,157,4.95,5.05,2.5,19375.5,6.85,19388.0,0.9811753943606794,0.8990542423055157,0.6728898424380068,0.5246341087084277,4.95,5.05,2.5,19375.5,0.6297619047619047,0.9997394369935944,0.495,0.9998709877180307,0.37023809523809526,0.00026056300640570627,0.505,0.00012901228196924346,0.4755442474192474,0.9996105838663091,0.6894269220846233,0.6446152466537031,0.7437677874353402,0.5567253130833099,0.6295013417554991,0.4948709877180308,6000.620638898834,0.37040936545534503,0.8750598580819293,
Cup,237,1.1333333333333333,8.866666666666667,5.766666666666667,19372.233333333334,6.9,19388.0,0.21177537725480827,0.6148041012716233,0.42252250853485607,0.13673021206353397,1.1333333333333333,8.866666666666667,5.766666666666667,19372.233333333334,0.16825396825396824,0.9995425092187774,0.11333333333333333,0.9997024116695908,0.8317460317460318,0.0004574907812225379,0.8866666666666667,0.00029758833040905493,0.07953754578754578,0.9992452376040163,0.23875432525951557,0.213854274364695,0.27044254234201415,0.13764412289194747,0.16779647747274573,0.11303574500292428,438.26438649533884,0.8321381088047151,0.6116547969094079,
DeskLamp,247,0.8387096774193549,9.161290322580646,6.129032258064516,19371.870967741936,6.967741935483871,19388.0,0.2245909390019811,0.6511835998052277,0.4215105214979837,0.10650587383159887,0.8387096774193549,9.161290322580646,6.129032258064516,19371.870967741936,0.12211981566820276,0.9995273061930621,0.08387096774193549,0.9996837118248496,0.8778801843317973,0.0004726938069378906,0.9161290322580645,0.0003162881751504033,0.06026231832683446,0.9992113512182461,0.23699095022624433,0.21329965132000284,0.2667301738509168,0.10078510805056161,0.12164712186126488,0.08355467956678511,340.95252724745814,0.8783080311648378,0.6196043134106629,
