query,id,class,tp,fp,fn,tn,P,N_total,AP,ROC_AUC,NDCG,NDCG_top10,TP,FP,FN,TN,TPR,TNR,PPV,NPV,FNR,FPR,FDR,FOR,TS,ACC,F1,F0_5,F2,MCC,BM,MK,LR+,LR-
m69_06_fill_holes_and_orientation.obj,m69,AquaticAnimal,2,8,5,0,7,2437,0.6684062642673306,0.9239588135853696,0.6145214758815284,0.29849003527675555,2,8,5,0,0.2857142857142857,0.0,0.2,0.0,0.7142857142857143,1.0,0.8,1.0,0.13333333333333333,0.13333333333333333,0.23529411764705882,0.2127659574468085,0.26315789473684204,-0.7559289460184545,-0.7142857142857143,-0.8,0.2857142857142857,
m70_06_fill_holes_and_orientation.obj,m70,AquaticAnimal,2,8,5,0,7,2437,0.49834132029920697,0.8953127401260181,0.5538519616692725,0.24890832702259466,2,8,5,0,0.2857142857142857,0.0,0.2,0.0,0.7142857142857143,1.0,0.8,1.0,0.13333333333333333,0.13333333333333333,0.23529411764705882,0.2127659574468085,0.26315789473684204,-0.7559289460184545,-0.7142857142857143,-0.8,0.2857142857142857,
m71_06_fill_holes_and_orientation.obj,m71,AquaticAnimal,3,7,4,0,7,2437,0.739828131634226,0.926571384662671,0.6334808542152611,0.37466610587647853,3,7,4,0,0.42857142857142855,0.0,0.3,0.0,0.5714285714285714,1.0,0.7,1.0,0.21428571428571427,0.21428571428571427,0.3529411764705882,0.3191489361702127,0.3947368421052631,-0.6324555320336759,-0.5714285714285714,-0.7,0.42857142857142855,
m72_06_fill_holes_and_orientation.obj,m72,AquaticAnimal,2,8,5,0,7,2437,0.5457124027561812,0.9202551098816659,0.5536179157108145,0.20483424751859092,2,8,5,0,0.2857142857142857,0.0,0.2,0.0,0.7142857142857143,1.0,0.8,1.0,0.13333333333333333,0.13333333333333333,0.23529411764705882,0.2127659574468085,0.26315789473684204,-0.7559289460184545,-0.7142857142857143,-0.8,0.2857142857142857,
m73_06_fill_holes_and_orientation.obj,m73,AquaticAnimal,0,10,7,0,7,2437,0.13111589330868087,0.8330720762256032,0.3818895740674783,0.0,0,10,7,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,-1.0,-1.0,-1.0,0.0,
m75_06_fill_holes_and_orientation.obj,m75,AquaticAnimal,2,8,5,0,7,2437,0.48904327242970813,0.8536345474104811,0.5676811329517708,0.2895229882348575,2,8,5,0,0.2857142857142857,0.0,0.2,0.0,0.7142857142857143,1.0,0.8,1.0,0.13333333333333333,0.13333333333333333,0.23529411764705882,0.2127659574468085,0.26315789473684204,-0.7559289460184545,-0.7142857142857143,-0.8,0.2857142857142857,
m76_06_fill_holes_and_orientation.obj,m76,AquaticAnimal,3,7,4,0,7,2437,0.6616705748926116,0.8984324573536191,0.6221478949786956,0.4152807670887413,3,7,4,0,0.42857142857142855,0.0,0.3,0.0,0.5714285714285714,1.0,0.7,1.0,0.21428571428571427,0.21428571428571427,0.3529411764705882,0.3191489361702127,0.3947368421052631,-0.6324555320336759,-0.5714285714285714,-0.7,0.42857142857142855,
m77_06_fill_holes_and_orientation.obj,m77,AquaticAnimal,2,8,5,0,7,2437,0.3512982999954716,0.8372214538189641,0.523926192845323,0.2837125544970319,2,8,5,0,0.2857142857142857,0.0,0.2,0.0,0.7142857142857143,1.0,0.8,1.0,0.13333333333333333,0.13333333333333333,0.23529411764705882,0.2127659574468085,0.26315789473684204,-0.7559289460184545,-0.7142857142857143,-0.8,0.2857142857142857,
m78_06_fill_holes_and_orientation.obj,m78,AquaticAnimal,3,7,4,0,7,2437,0.47493486231301263,0.8523743660673122,0.5673056488452669,0.36885567213865295,3,7,4,0,0.42857142857142855,0.0,0.3,0.0,0.5714285714285714,1.0,0.7,1.0,0.21428571428571427,0.21428571428571427,0.3529411764705882,0.3191489361702127,0.3947368421052631,-0.6324555320336759,-0.5714285714285714,-0.7,0.42857142857142855,
m79_06_fill_holes_and_orientation.obj,m79,AquaticAnimal,1,9,6,0,7,2437,0.36156910186571983,0.8363762102351314,0.5260176767509387,0.2200917662980802,1,9,6,0,0.14285714285714285,0.0,0.1,0.0,0.8571428571428571,1.0,0.9,1.0,0.0625,0.0625,0.11764705882352941,0.10638297872340426,0.13157894736842102,-0.8783100656536799,-0.8571428571428572,-0.9,0.14285714285714285,
m80_06_fill_holes_and_orientation.obj,m80,AquaticAnimal,0,10,7,0,7,2437,0.13810314210391114,0.8128169663439372,0.3974239043252338,0.0,0,10,7,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,-1.0,-1.0,-1.0,0.0,
m81_06_fill_holes_and_orientation.obj,m81,AquaticAnimal,1,9,6,0,7,2437,0.48550830778110005,0.8731827262947595,0.5658869021938356,0.2200917662980802,1,9,6,0,0.14285714285714285,0.0,0.1,0.0,0.8571428571428571,1.0,0.9,1.0,0.0625,0.0625,0.11764705882352941,0.10638297872340426,0.13157894736842102,-0.8783100656536799,-0.8571428571428572,-0.9,0.14285714285714285,
D00031_06_fill_holes_and_orientation.obj,d00031,Bed,1,9,6,0,7,2437,0.4502786714369358,0.9025460230354465,0.558605561913786,0.2200917662980802,1,9,6,0,0.14285714285714285,0.0,0.1,0.0,0.8571428571428571,1.0,0.9,1.0,0.0625,0.0625,0.11764705882352941,0.10638297872340426,0.13157894736842102,-0.8783100656536799,-0.8571428571428572,-0.9,0.14285714285714285,
D00110_06_fill_holes_and_orientation.obj,d00110,Bed,4,6,3,0,7,2437,0.7906931761855817,0.8544970168777717,0.6465590511633587,0.47842151728792737,4,6,3,0,0.5714285714285714,0.0,0.4,0.0,0.42857142857142855,1.0,0.6,1.0,0.3076923076923077,0.3076923076923077,0.47058823529411764,0.425531914893617,0.5263157894736841,-0.50709255283711,-0.4285714285714286,-0.6,0.5714285714285714,
D00121_06_fill_holes_and_orientation.obj,d00121,Bed,3,7,4,0,7,2437,0.5218710310877209,0.8741026704527326,0.5468896818028333,0.26845503571754264,3,7,4,0,0.42857142857142855,0.0,0.3,0.0,0.5714285714285714,1.0,0.7,1.0,0.21428571428571427,0.21428571428571427,0.3529411764705882,0.3191489361702127,0.3947368421052631,-0.6324555320336759,-0.5714285714285714,-0.7,0.42857142857142855,
D00184_06_fill_holes_and_orientation.obj,d00184,Bed,0,10,6,0,6,2437,0.140318086202411,0.8102128066872986,0.385648152118592,0.0,0,10,6,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,-1.0,-1.0,-1.0,0.0,
D00210_06_fill_holes_and_orientation.obj,d00210,Bed,0,10,7,0,7,2437,0.1343760977232366,0.7768879813674504,0.39538195599144976,0.0,0,10,7,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,-1.0,-1.0,-1.0,0.0,
D00213_06_fill_holes_and_orientation.obj,d00213,Bed,3,7,4,0,7,2437,0.6107447871253916,0.8422773825096515,0.6049476415799805,0.3836331529183765,3,7,4,0,0.42857142857142855,0.0,0.3,0.0,0.5714285714285714,1.0,0.7,1.0,0.21428571428571427,0.21428571428571427,0.3529411764705882,0.3191489361702127,0.3947368421052631,-0.6324555320336759,-0.5714285714285714,-0.7,0.42857142857142855,
