class,class_size,tp,fp,fn,tn,P,N_total,AP,ROC_AUC,NDCG,NDCG_top10,TP,FP,FN,TN,TPR,TNR,PPV,NPV,FNR,FPR,FDR,FOR,TS,ACC,F1,F0_5,F2,MCC,BM,MK,LR+,ROC_AUC_micro,ROC_AUC_macro
Chess,42,2.3095238095238093,7.690476190476191,4.666666666666667,0.0,6.976190476190476,2437.0,0.7995375924155123,0.788768398356533,0.5806804534161424,0.32993180166317126,2.3095238095238093,7.690476190476191,4.666666666666667,0.0,0.3299319727891156,0.0,0.23095238095238094,0.0,0.6700680272108843,1.0,0.769047619047619,1.0,0.17269179233464949,0.17269179233464949,0.31699346405228757,0.28664302600472813,0.35453216374269003,-0.7302663266476119,-0.6700680272108843,-0.7804878048780488,0.3299319727891156,0.7730613486759037,
City,27,1.5925925925925926,8.407407407407407,5.37037037037037,0.0,6.962962962962963,2437.0,0.3175307756467902,0.756043939162977,0.4849650227272513,0.2391410870770661,1.5925925925925926,8.407407407407407,5.37037037037037,0.0,0.22927689594356263,0.0,0.15925925925925924,0.0,0.7707231040564374,1.0,0.8407407407407407,1.0,0.11514380681047348,0.11514380681047348,0.22058823529411764,0.19909101878293048,0.24734149952887333,-0.8033829414233463,-0.7707231040564374,-0.8407407407407407,0.22927689594356263,0.7280148270516491,
ClassicPiano,20,0.85,9.15,6.0,0.0,6.85,2437.0,0.13475751896913998,0.6354120412694266,0.3912096664990196,0.12442342583901884,0.85,9.15,6.0,0.0,0.12380952380952379,0.0,0.085,0.0,0.8761904761904761,1.0,0.915,1.0,0.055208333333333325,0.055208333333333325,0.15497737556561086,0.13947199886145306,0.17444629673731837,-0.8951968525609226,-0.8761904761904763,-0.915,0.12380952380952379,0.6194190501066562,
Computer,33,2.1515151515151514,7.848484848484849,4.848484848484849,0.0,7.0,2437.0,0.4173054464351068,0.6641726516726517,0.5100109493057181,0.2970461453693912,2.1515151515151514,7.848484848484849,4.848484848484849,0.0,0.30735930735930733,0.0,0.21515151515151518,0.0,0.6926406926406926,1.0,0.7848484848484848,1.0,0.15381701631701633,0.15381701631701633,0.26944971537001894,0.24365133836650651,0.30135823429541586,-0.7361675547197021,-0.6926406926406926,-0.7848484848484848,0.30735930735930733,0.6279538199992745,
ComputerKeyboard,20,4.9,5.1,2.4,0.0,6.85,2437.0,0.912527464408614,0.8694995864350703,0.6560411216230326,0.5175939913051988,4.9,5.1,2.4,0.0,0.6440476190476191,0.0,0.49000000000000005,0.0,0.35595238095238096,1.0,0.51,1.0,0.4609527972027972,0.4609527972027972,0.6157096854336276,0.5704262381281014,0.6710581512035274,-0.6447248015479734,-0.35595238095238096,-0.7166666666666667,0.6440476190476191,0.8433502024291497,
Cup,30,0.8333333333333334,9.166666666666666,6.066666666666666,0.0,6.9,2437.0,0.1442388012932843,0.5924776606713256,0.39160205119606667,0.0837528410366637,0.8333333333333334,9.166666666666666,6.066666666666666,0.0,0.12222222222222222,0.0,0.08333333333333333,0.0,0.8777777777777778,1.0,0.9166666666666666,1.0,0.05632783882783883,0.05632783882783883,0.17474048442906576,0.15698971540512596,0.19714077581496992,-0.8965618061451198,-0.8777777777777779,-0.9166666666666666,0.12222222222222222,0.5818071944094398,
DeskLamp,31,1.3870967741935485,8.612903225806452,5.612903225806452,0.0,6.967741935483871,2437.0,0.330347112856058,0.6980625505358475,0.4539692520200533,0.1612231155812115,1.3870967741935485,8.612903225806452,5.612903225806452,0.0,0.19815668202764974,0.0,0.13870967741935483,0.0,0.8018433179723502,1.0,0.8612903225806451,1.0,0.1103258300838946,0.1103258300838946,0.3891402714932127,0.3518821603927987,0.43522267206477727,-0.8521810781203435,-0.8018433179723502,-0.88,0.19815668202764974,0.6804223027961717,
DeskPhone,20,1.1,8.9,5.9,0.0,7.0,2437.0,0.17302875651876573,0.7074039005702842,0.41661051399124194,0.14161327413431551,1.1,8.9,5.9,0.0,0.15714285714285714,0.0,0.11000000000000001,0.0,0.8428571428571429,1.0,0.89,1.0,0.07309523809523809,0.07309523809523809,0.18487394957983191,0.16717325227963525,0.20676691729323302,-0.8657553686685304,-0.8428571428571429,-0.89,0.15714285714285714,0.6789512864045971,
Door,42,3.0476190476190474,6.9523809523809526,3.9761904761904763,0.0,7.0,2437.0,0.6259179154881599,0.587865906980081,0.5400267480973356,0.39234545776659485,3.0476190476190474,6.9523809523809526,3.9761904761904763,0.0,0.43197278911564624,0.0,0.3047619047619048,0.0,0.5680272108843537,1.0,0.6952380952380952,1.0,0.2518496384567813,0.2518496384567813,0.38478297301826714,0.34869976359338056,0.4292783240151661,-0.6625876640372764,-0.5680272108843537,-0.7282051282051282,0.43197278911564624,0.5783540590252415,
Drum,20,1.3,8.7,5.65,0.0,6.95,2437.0,0.2471125777716941,0.712963083888381,0.4422889778309164,0.15767654439654782,1.3,8.7,5.65,0.0,0.1869047619047619,0.0,0.13,0.0,0.8130952380952381,1.0,0.8699999999999999,1.0,0.0927014652014652,0.0927014652014652,0.2555147058823529,0.23068917668825162,0.2863777089783281,-0.8400392847499762,-0.8130952380952381,-0.8699999999999999,0.1869047619047619,0.7149817160767924,
Fish,20,5.35,4.65,1.8,0.0,7.0,2437.0,1.1221689651383921,0.9652093944538768,0.756924560904952,0.6063050356236785,5.35,4.65,1.8,0.0,0.7428571428571429,0.0,0.5349999999999999,0.0,0.2571428571428571,1.0,0.465,1.0,0.48537191974691973,0.48537191974691973,0.6215686274509803,0.5664893617021276,0.6889097744360902,-0.47352969315361804,-0.2571428571428572,-0.5769230769230769,0.7428571428571429,0.9628772147490313,
FloorLamp,25,0.44,9.56,6.52,0.0,6.96,2437.0,0.08110679100628791,0.6041276419394944,0.3556960446144491,0.050580471633544885,0.44,9.56,6.52,0.0,0.06285714285714286,0.0,0.044000000000000004,0.0,0.937142857142857,1.0,0.956,1.0,0.02783333333333333,0.02783333333333333,0.12941176470588237,0.11702127659574468,0.1447368421052631,-0.946428781476063,-0.9371428571428573,-0.956,0.06285714285714286,0.5962865036607268,
Glasses,19,3.6315789473684212,6.368421052631579,3.473684210526316,0.0,7.0,2437.0,0.6393966339684178,0.8251452318269837,0.5987952649709893,0.43064673392096403,3.6315789473684212,6.368421052631579,3.473684210526316,0.0,0.5037593984962406,0.0,0.36315789473684207,0.0,0.4962406015037594,1.0,0.6368421052631579,1.0,0.3119516448463817,0.3119516448463817,0.5003869969040248,0.4563341293964394,0.554562356979405,-0.6435144604206283,-0.4962406015037594,-0.7125,0.5037593984962406,0.8030873111210101,
Guitar,20,1.0,9.0,5.95,0.0,6.95,2437.0,0.2559364429172065,0.8662313351617257,0.4504174617741795,0.11435068223610816,1.0,9.0,5.95,0.0,0.14285714285714285,0.0,0.1,0.0,0.8571428571428571,1.0,0.9,1.0,0.07044184981684982,0.07044184981684982,0.23529411764705882,0.2127659574468085,0.26315789473684204,-0.8775024429006603,-0.8571428571428571,-0.9,0.14285714285714285,0.8615581602890601,
Gun,58,1.6379310344827587,8.362068965517242,5.344827586206897,0.0,6.982758620689655,2437.0,0.648744969324227,0.7198292384104277,0.527187981934657,0.1739239777788331,1.6379310344827587,8.362068965517242,5.344827586206897,0.0,0.2344006568144499,0.0,0.16379310344827586,0.0,0.7655993431855501,1.0,0.8362068965517241,1.0,0.11623089554124037,0.11623089554124037,0.266281512605042,0.24068322981366458,0.29798761609907115,-0.7990593460035081,-0.7655993431855501,-0.8362068965517241,0.2344006568144499,0.7153986990628283,
Hand,37,3.2162162162162162,6.783783783783784,3.675675675675676,0.0,6.891891891891892,2437.0,0.8671907309056971,0.8155582696399023,0.6186707196090366,0.4481485362604442,3.2162162162162162,6.783783783783784,3.675675675675676,0.0,0.46846846846846846,0.0,0.3216216216216216,0.0,0.5315315315315314,1.0,0.6783783783783784,1.0,0.25342810342810346,0.25342810342810346,0.38116057233704287,0.3430257269295197,0.4290435946782695,-0.6099857157241803,-0.5315315315315315,-0.6888888888888889,0.46846846846846846,0.8043955287277326,
