query,id,class,tp,fp,fn,tn,P,N_total,AP,ROC_AUC,NDCG,NDCG_top10,TP,FP,FN,TN,TPR,TNR,PPV,NPV,FNR,FPR,FDR,FOR,TS,ACC,F1,F0_5,F2,MCC,BM,MK,LR+,LR-
D00859_06_fill_holes_and_orientation.obj,d00859,Apartment,2,8,5,0,7,2437,0.1311460663238132,0.45418784114436295,0.38464844419881294,0.14876390584057272,2,8,5,0,0.2857142857142857,0.0,0.2,0.0,0.7142857142857143,1.0,0.8,1.0,0.13333333333333333,0.13333333333333333,0.23529411764705882,0.2127659574468085,0.26315789473684204,-0.7559289460184545,-0.7142857142857143,-0.8,0.2857142857142857,
D00860_06_fill_holes_and_orientation.obj,d00860,Apartment,1,9,6,0,7,2437,0.21544757405073733,0.689949181253529,0.4613443129545819,0.2200917662980802,1,9,6,0,0.14285714285714285,0.0,0.1,0.0,0.8571428571428571,1.0,0.9,1.0,0.0625,0.0625,0.11764705882352941,0.10638297872340426,0.13157894736842102,-0.8783100656536799,-0.8571428571428572,-0.9,0.14285714285714285,
D00869_06_fill_holes_and_orientation.obj,d00869,Apartment,0,10,7,0,7,2437,0.09105024591148757,0.6671372106154715,0.3657411568527463,0.0,0,10,7,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,-1.0,-1.0,-1.0,0.0,
D00921_06_fill_holes_and_orientation.obj,d00921,Apartment,0,10,7,0,7,2437,0.08190455359475945,0.6179183135704874,0.35675046694178797,0.0,0,10,7,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,-1.0,-1.0,-1.0,0.0,
D00953_06_fill_holes_and_orientation.obj,d00953,Apartment,0,10,7,0,7,2437,0.026622542561569474,0.45093167701863357,0.29642606656897763,0.0,0,10,7,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,-1.0,-1.0,-1.0,0.0,
m463_06_fill_holes_and_orientation.obj,m463,Apartment,1,9,6,0,7,2437,0.11926840548257425,0.7832486354225484,0.39324121637434817,0.07839826897867534,1,9,6,0,0.14285714285714285,0.0,0.1,0.0,0.8571428571428571,1.0,0.9,1.0,0.0625,0.0625,0.11764705882352941,0.10638297872340426,0.13157894736842102,-0.8783100656536799,-0.8571428571428572,-0.9,0.14285714285714285,
m464_06_fill_holes_and_orientation.obj,m464,Apartment,0,10,7,0,7,2437,0.0642724248839093,0.47560700169395814,0.3446936327365784,0.0,0,10,7,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,-1.0,-1.0,-1.0,0.0,
m465_06_fill_holes_and_orientation.obj,m465,Apartment,0,10,7,0,7,2437,0.05644394146814902,0.431357048748353,0.33597063753077316,0.0,0,10,7,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,-1.0,-1.0,-1.0,0.0,
m53_06_fill_holes_and_orientation.obj,m53,AquaticAnimal,4,6,3,0,7,2437,0.7660758554900073,0.8666359305363454,0.6480274087674909,0.5384313152574522,4,6,3,0,0.5714285714285714,0.0,0.4,0.0,0.42857142857142855,1.0,0.6,1.0,0.3076923076923077,0.3076923076923077,0.47058823529411764,0.425531914893617,0.5263157894736841,-0.50709255283711,-0.4285714285714286,-0.6,0.5714285714285714,
m54_06_fill_holes_and_orientation.obj,m54,AquaticAnimal,6,4,1,0,7,2437,0.9397043973507194,0.879176271707392,0.6776254861789193,0.67175898907361,6,4,1,0,0.8571428571428571,0.0,0.6,0.0,0.14285714285714285,1.0,0.4,1.0,0.5454545454545454,0.5454545454545454,0.7058823529411764,0.6382978723404255,0.7894736842105262,-0.23904572186687872,-0.1428571428571429,-0.4,0.8571428571428571,
m55_06_fill_holes_and_orientation.obj,m55,AquaticAnimal,5,5,2,0,7,2437,0.8468615555372355,0.8828646073459352,0.6574499458724,0.5884674004369674,5,5,2,0,0.7142857142857143,0.0,0.5,0.0,0.2857142857142857,1.0,0.5,1.0,0.4166666666666667,0.4166666666666667,0.588235294117647,0.5319148936170213,0.6578947368421053,-0.37796447300922725,-0.2857142857142857,-0.5,0.7142857142857143,
m56_06_fill_holes_and_orientation.obj,m56,AquaticAnimal,5,5,2,0,7,2437,1.043153939277745,0.8990779160903641,0.7040170275566694,0.6325414799409712,5,5,2,0,0.7142857142857143,0.0,0.5,0.0,0.2857142857142857,1.0,0.5,1.0,0.4166666666666667,0.4166666666666667,0.588235294117647,0.5319148936170213,0.6578947368421053,-0.37796447300922725,-0.2857142857142857,-0.5,0.7142857142857143,
m57_06_fill_holes_and_orientation.obj,m57,AquaticAnimal,5,5,2,0,7,2437,0.9643686778321122,0.873582295988935,0.6864172953417751,0.6371523797895857,5,5,2,0,0.7142857142857143,0.0,0.5,0.0,0.2857142857142857,1.0,0.5,1.0,0.4166666666666667,0.4166666666666667,0.588235294117647,0.5319148936170213,0.6578947368421053,-0.37796447300922725,-0.2857142857142857,-0.5,0.7142857142857143,
m58_06_fill_holes_and_orientation.obj,m58,AquaticAnimal,0,10,7,0,7,2437,0.04405487322645119,0.5372368218841248,0.32009110883314246,0.0,0,10,7,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,-1.0,-1.0,-1.0,0.0,
m59_06_fill_holes_and_orientation.obj,m59,AquaticAnimal,3,7,4,0,7,2437,0.4329896123682339,0.8667896111879514,0.5076352627615985,0.20641593223508908,3,7,4,0,0.42857142857142855,0.0,0.3,0.0,0.5714285714285714,1.0,0.7,1.0,0.21428571428571427,0.21428571428571427,0.3529411764705882,0.3191489361702127,0.3947368421052631,-0.6324555320336759,-0.5714285714285714,-0.7,0.42857142857142855,
m60_06_fill_holes_and_orientation.obj,m60,AquaticAnimal,1,9,6,0,7,2437,0.32720483819916574,0.8645305056093437,0.48828368030438474,0.1100458831490401,1,9,6,0,0.14285714285714285,0.0,0.1,0.0,0.8571428571428571,1.0,0.9,1.0,0.0625,0.0625,0.11764705882352941,0.10638297872340426,0.13157894736842102,-0.8783100656536799,-0.8571428571428572,-0.9,0.14285714285714285,
m61_06_fill_holes_and_orientation.obj,m61,AquaticAnimal,4,6,3,0,7,2437,0.8040705653024359,0.8648839711080374,0.6554588775518593,0.5473983622993503,4,6,3,0,0.5714285714285714,0.0,0.4,0.0,0.42857142857142855,1.0,0.6,1.0,0.3076923076923077,0.3076923076923077,0.47058823529411764,0.425531914893617,0.5263157894736841,-0.50709255283711,-0.4285714285714286,-0.6,0.5714285714285714,
m62_06_fill_holes_and_orientation.obj,m62,AquaticAnimal,0,10,7,0,7,2437,0.12328498399435857,0.7624558168126634,0.39205326457282164,0.0,0,10,7,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,-1.0,-1.0,-1.0,0.0,
m63_06_fill_holes_and_orientation.obj,m63,AquaticAnimal,0,10,7,0,7,2437,0.16548329903798462,0.8024281542953742,0.41099561763178843,0.0,0,10,7,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,-1.0,-1.0,-1.0,0.0,
