class,class_size,tp,fp,fn,tn,P,N_total,AP,ROC_AUC,TP,FP,FN,TN,TPR,TNR,PPV,NPV,FNR,FPR,FDR,FOR,TS,ACC,F1,F0_5,F2,MCC,BM,MK,LR+,LR-,ROC_AUC_micro,ROC_AUC_macro
Jet,1103,5.391304347826087,4.608695652173913,2.152173913043478,19375.847826086956,6.992753623188406,19388.0,6.4961368144807885,0.875704147291635,5.391304347826087,4.608695652173913,2.152173913043478,19375.847826086956,0.6915113871635611,0.9997622048980812,0.5391304347826087,0.9998889372529134,0.3084886128364389,0.0002377951019186725,0.4608695652173913,0.00011106274708656611,0.4946471402993142,0.999651285869341,0.6254568309318187,0.5834739911001994,0.6766179915299855,0.6088448285361061,0.6912735920616424,0.5390193720355221,4598.676506646019,0.308604885421292,0.8599669117154474,
Knife,192,1.0416666666666667,8.958333333333334,5.958333333333333,19372.041666666668,7.0,19388.0,0.25125272165739865,0.8190904806503129,1.0416666666666667,8.958333333333334,5.958333333333333,19372.041666666668,0.1488095238095238,0.9995377775484581,0.10416666666666667,0.9996925207279733,0.8511904761904762,0.0004622224515418881,0.8958333333333334,0.00030747927202669695,0.07018849206349206,0.9992306237535246,0.21008403361344535,0.18996960486322187,0.23496240601503754,0.12412586423154431,0.14834730135798194,0.10385918739463999,369.43657879818596,0.8515923870059853,0.806344688441819,
MilitaryVehicle,158,2.9,7.1,4.0,19374.0,6.9,19388.0,0.5910383674173267,0.9207544294980629,2.9,7.1,4.0,19374.0,0.4226190476190476,0.9996336635641232,0.29,0.9997935803488491,0.5773809523809523,0.00036633643587685017,0.71,0.00020641965115078954,0.23450258075258076,0.9994274809160306,0.4044117647058823,0.36390596941829456,0.4552904753232562,0.3496919140092465,0.42225271118317076,0.2897935803488492,1540.2023053665912,0.5776237475602369,0.9175977863392973,
Monitor,160,0.9,9.1,6.1,19371.9,7.0,19388.0,0.1000744313699129,0.523144399460189,0.9,9.1,6.1,19371.9,0.12857142857142856,0.9995304679841082,0.09,0.9996852100319951,0.8714285714285713,0.0004695320158918529,0.9099999999999999,0.0003147899680049541,0.06089056776556776,0.9992160099030329,0.17647058823529413,0.15957446808510636,0.19736842105263153,0.10718603219673825,0.12810189655553672,0.08968521003199509,324.6647108843537,0.8718459710505945,0.5354446367158591,
Monoplane,159,2.1,7.9,4.85,19373.15,6.95,19388.0,0.35877185517706733,0.9197324887902137,2.1,7.9,4.85,19373.15,0.30357142857142855,0.9995923852256329,0.21000000000000002,0.9997497161729797,0.6964285714285714,0.000407614774367063,0.79,0.00025028382702033233,0.15358287545787547,0.999342376727873,0.29195501730103807,0.2632366545137944,0.32780914223274443,0.2521145937824503,0.30316381379706153,0.2097497161729797,886.1020124716554,0.6967288872822648,0.9117817030168472,
Motorcycle,207,2.8846153846153846,7.115384615384615,4.076923076923077,19373.923076923078,6.961538461538462,19388.0,0.5931179487151385,0.8793832121444061,2.8846153846153846,7.115384615384615,4.076923076923077,19373.923076923078,0.41666666666666663,0.9996328685468546,0.28846153846153844,0.9997896107401731,0.5833333333333333,0.0003671314531454009,0.7115384615384616,0.00021038925982676626,0.2212723174261636,0.9994227198425671,0.3544117647058823,0.31961147086031455,0.39783281733746123,0.34634003224466714,0.4162995352135213,0.2882511492017117,1386.0538548752836,0.5835652832995146,0.8712344834015328,
Mug,207,2.8461538461538463,7.153846153846154,4.153846153846154,19373.846153846152,6.961538461538462,19388.0,0.6365964822793428,0.8656257175660161,2.8461538461538463,7.153846153846154,4.153846153846154,19373.846153846152,0.4065934065934066,0.9996308835378027,0.2846153846153846,0.9997856411314973,0.5934065934065934,0.0003691164621973146,0.7153846153846154,0.00021435886850274297,0.2321167614436845,0.999416768500738,0.4352941176470588,0.3936170212765957,0.48684210526315785,0.33989793291018233,0.4062242901312093,0.28440102574688186,1577.0515436944008,0.5936612901846282,0.85687043088306,
MultiSeat,358,2.3555555555555556,7.644444444444445,4.622222222222222,19373.37777777778,6.955555555555556,19388.0,0.694486484052349,0.69454490580692,2.3555555555555556,7.644444444444445,4.622222222222222,19373.37777777778,0.335978835978836,0.9996055709437246,0.23555555555555555,0.9997614706253368,0.664021164021164,0.0003944290562753139,0.7644444444444444,0.0002385293746631346,0.18635938135938138,0.9993673062375352,0.3277648778809769,0.29659022672314456,0.3664346625076623,0.2809269873084968,0.3355844069225607,0.23531702618089245,1288.8852481733434,0.664312831079339,0.6963981506104364,
Musical_Instrument,166,1.4285714285714286,8.571428571428571,5.476190476190476,19372.52380952381,6.904761904761905,19388.0,0.19490850933035586,0.5946854621037492,1.4285714285714286,8.571428571428571,5.476190476190476,19372.52380952381,0.2074829931972789,0.9995577427994095,0.14285714285714285,0.9997174016680674,0.7925170068027211,0.0004422572005904993,0.8571428571428571,0.0002825983319326286,0.1013234781091924,0.9992754477487302,0.23676470588235293,0.21322849213691025,0.2662538699690402,0.17176136988305682,0.20704073599668843,0.14257454452521023,568.7094536227189,0.792880985862436,0.598942252393993,
NonWheelChair,479,3.8666666666666667,6.133333333333334,3.25,19374.75,6.983333333333333,19388.0,2.058558438952042,0.88212843247661,3.8666666666666667,6.133333333333334,3.25,19374.75,0.5337301587301587,0.9996835387279145,0.38666666666666666,0.9998322840334399,0.4662698412698412,0.00031646127208548975,0.6133333333333333,0.00016771596656001652,0.34351634476634474,0.999516023657245,0.5167194239369162,0.4718092851600186,0.5717094970359204,0.45373066718982785,0.5334136974580732,0.38649895070010665,3208.215129755606,0.46646851630570985,0.8679941028004671,
PianoBoard,159,1.75,8.25,5.2,19372.8,6.95,19388.0,0.24114021311247474,0.6476002350790127,1.75,8.25,5.2,19372.8,0.2523809523809524,0.99957432643505,0.175,0.9997316544535039,0.7476190476190476,0.00042567356494994647,0.825,0.0002683455464960264,0.12559065934065933,0.9993062719207758,0.2582720588235294,0.2330018501387604,0.2897639318885448,0.20978437142768702,0.25195527881600244,0.17473165445350397,712.7812074829932,0.7479521212214134,0.6500608919942537,
PlantIndoors,504,2.8125,7.1875,4.078125,19373.921875,6.875,19388.0,1.202696950337701,0.7739591273184365,2.8125,7.1875,4.078125,19373.921875,0.40476190476190477,0.9996291497649293,0.28125,0.9997895487150377,0.5952380952380952,0.00037085023507061926,0.71875,0.0002104512849623284,0.227637141504329,0.9994189382607799,0.3859477124183006,0.34842878367392704,0.43273960301824077,0.3370073756205555,0.40439105452683416,0.28103954871503767,1586.382570389267,0.5954904298588501,0.7584612008470984,
