approach,class,AP,ROC_AUC,ROC_AUC_micro,F1,MCC
matrix_minmax_optimized,Train,0.13721530539877966,0.618232806354298,0.5967874008732068,0.17352941176470588,0.08789851842446653
matrix_minmax_optimized,Tree,0.9081985162078409,0.7432506503158677,0.7229707616018948,0.5130718954248366,0.40768392220547156
matrix_minmax_optimized,Truck,0.24263274645732413,0.6758476403851766,0.6564015558285647,0.21787925696594426,0.15563980913866646
matrix_minmax_optimized,TruckNonContainer,0.21208095403246535,0.8592094379870272,0.8523715772060424,0.22254901960784312,0.16985491929623472
matrix_minmax_optimized,Vase,0.0944840756690664,0.6652886867851728,0.6600264068277567,0.14705882352941177,0.06250263624115081
matrix_minmax_optimized,Violin,0.16722354116049926,0.7988920813199252,0.7597072395629272,0.15049019607843137,0.11460782142420176
matrix_minmax_optimized,Wheel,0.12390960739850211,0.7116240858177223,0.6936081561424046,0.23529411764705882,0.06990667865301285
matrix_minmax_optimized,WheelChair,0.8022542143127976,0.8841985546994036,0.8413167689695703,0.5103878116343491,0.4923277965936973
matrix_minmax_optimized,__overall_by_shape__,1.2404647107957727,0.7301298475459727,0.7299180757699626,0.40648766404228853,0.3111283940061789
matrix_minmax_optimized,__weighted_by_class__,1.240464710795773,0.7301298475459728,0.7299180757699626,0.37780796809885686,0.31112839400617887
matrix_rank_based_optimized,AircraftBuoyant,0.19409656776342088,0.6880952380952381,0.6729980603151666,0.21719457013574658,0.17893120316768152
matrix_rank_based_optimized,Apartment,0.11394567987499096,0.5825129501878085,0.585032183782903,0.15294117647058822,0.0671556992161567
matrix_rank_based_optimized,AquaticAnimal,0.541183469271875,0.8667484467276998,0.8640403741026149,0.36363636363636365,0.2899653963369984
matrix_rank_based_optimized,Bed,0.4937257101991894,0.7789606279859287,0.7741044298258916,0.3558823529411764,0.2681336408834095
matrix_rank_based_optimized,Bicycle,1.6776236890286915,0.9583473657354253,0.9553034629613275,0.7235386732290757,0.7296945124794422
matrix_rank_based_optimized,Biplane,1.0240843127017,0.8905304613202648,0.8832988659872627,0.3529411764705882,0.3184357022778489
matrix_rank_based_optimized,Bird,0.46621836567692837,0.6812617186506589,0.6783869706320593,0.24338235294117644,0.1722026281823108
matrix_rank_based_optimized,Bookset,0.17886710350027143,0.7380294719428845,0.7403318858560795,0.18099547511312217,0.11914356069189547
